Date,10000,3000,1500,750,500,300,Last,Games
2019-10-03,254.7,249.6,249.6,248.0,247.5,247.5,145.0,8
2019-10-04,210.1,206.5,206.2,204.6,204.5,202.7,129.2,4
2019-10-08,252.4,243.2,238.7,236.1,235.0,234.8,129.8,8
2019-10-09,265.0,252.8,251.6,249.1,247.3,246.8,169.8,3
2019-10-11,187.4,186.4,186.4,184.8,183.8,182.0,121.6,3
2019-10-14,232.6,221.7,214.8,213.5,210.7,209.7,140.2,7
2019-10-15,279.3,269.3,253.5,253.5,253.2,251.3,143.4,7
2019-10-16,268.6,264.1,261.9,260.9,259.3,258.5,163.1,6
2019-10-17,226.1,222.3,218.9,216.2,215.7,215.7,134.6,9
2019-10-18,243.1,228.1,227.8,227.6,226.9,223.6,139.6,6
2019-10-21,201.2,195.3,193.7,192.8,192.8,192.1,128.7,4
2019-10-25,213.5,210.3,209.4,208.4,208.4,206.9,124.8,5
2019-10-26,216.5,215.6,213.6,210.8,206.7,205.2,131.3,8
2019-10-29,284.2,283.6,283.6,281.4,279.1,276.7,144.8,9
2019-10-30,302.9,282.7,280.5,278.3,276.2,275.2,170.8,6
2019-11-01,268.1,256.4,247.8,244.5,240.9,240.9,147.9,8
2019-11-02,244.1,229.4,229.1,216.6,216.1,215.0,144.1,12
2019-11-04,252.1,252.1,245.3,239.2,239.2,238.8,144.7,4
2019-11-05,224.6,224.1,217.3,216.2,214.6,206.9,121.2,11
2019-11-07,298.4,277.6,272.0,268.8,268.2,268.0,145.8,11
2019-11-08,210.2,210.2,210.2,208.6,207.0,207.0,126.1,3
2019-11-09,212.7,208.1,206.5,205.2,205.0,204.4,129.5,9
2019-11-12,239.3,238.5,234.6,234.6,233.5,232.2,132.5,9
2019-11-13,209.3,209.2,205.2,197.5,193.6,193.6,106.6,5
2019-11-14,292.0,283.3,279.5,278.2,277.1,271.5,182.7,8
2019-11-15,184.0,181.0,180.4,177.6,176.7,174.8,110.1,5
2019-11-16,251.0,248.9,246.4,244.2,244.0,243.9,163.4,10
2019-11-19,245.8,242.6,229.0,228.2,225.8,223.1,146.9,13
2019-11-21,259.2,258.2,251.0,249.4,244.5,242.8,147.9,13
2019-11-23,264.2,263.2,262.9,254.5,250.9,248.2,148.2,11
2019-11-25,210.5,201.1,199.8,198.4,194.9,193.7,125.6,9
2019-11-27,332.6,294.5,290.2,287.8,280.9,180.8,149.0,13
2019-11-29,238.5,232.9,221.7,221.2,221.0,218.6,140.7,11
2019-11-30,252.7,251.9,247.1,245.8,241.8,241.0,159.7,11
2019-12-02,235.6,229.5,225.2,221.2,218.2,216.4,157.0,5
2019-12-03,233.0,226.3,221.0,220.2,219.4,218.8,129.3,10
2019-12-05,191.6,191.6,189.8,189.6,186.0,182.0,117.5,9
2019-12-06,181.1,179.5,176.3,176.1,175.9,174.4,122.8,5
2019-12-09,264.5,248.6,233.3,233.0,227.6,225.5,143.8,4
2019-12-10,220.1,217.7,216.1,210.8,209.5,206.9,134.9,12
2019-12-11,195.6,189.5,186.1,184.2,183.4,182.6,128.2,3
2019-12-12,229.4,214.1,211.2,209.4,205.5,203.7,130.4,12
2019-12-14,223.6,218.5,217.5,215.9,215.1,214.4,139.9,9
2019-12-16,223.9,223.7,221.3,219.4,216.5,215.4,132.2,5
2019-12-17,235.9,217.2,217.1,213.5,213.0,212.9,138.9,11
2019-12-18,180.5,176.8,175.2,174.9,174.6,173.6,128.0,3
2019-12-19,228.7,222.7,222.0,218.6,218.6,217.5,137.2,10
2019-12-20,296.6,286.2,280.9,278.5,278.5,267.8,153.5,4
2019-12-21,235.4,226.2,223.9,233.9,221.6,220.3,147.1,10
2019-12-23,288.1,275.2,269.7,267.7,263.6,263.6,155.3,11
2019-12-27,253.6,246.0,244.9,242.4,234.9,233.2,139.4,11
2019-12-28,278.2,263.4,263.3,263.3,262.6,261.0,171.8,9